English words/sentences,Vietnamese words/sentences
Many Palestinian kids were killed by the soldiers of the IDF.,Nhiều đứa trẻ Palestin đã bị giết bởi quân lính của IDF.
Tom jumped in the pool.,Tom đã nhảy xuống hồ bơi.
Can I throw this out?,Tôi có thể vứt cái này ra ngoài được không?
It's cold in Boston.,Trời lạnh ở Boston.
Tom and Mary lay down side by side on the grass.,Tom và Mary nằm cạnh nhau trên bãi cỏ.
There were lots of fireflies.,Đã có rất nhiều đom đóm đấy.
Will Tom be here today?,Hôm nay Tom có tới không?
Israel should lift the blockade it imposed on Gaza.,Israel nên dỡ bỏ lệnh phong tỏa mà nước này ban hành tại dải Gaza.
Tom was in heaven.,Tom đã ở trên thiên đường.
Tom was in heaven.,Tôm đã ở trên thiên đàng
"At first, Tom seemed angry, but then I realized he was just worried.","Lúc đầu, Tom trông có vẻ giận dữ, nhưng sau đó tôi nhận ra là anh ấy chỉ đang lo lắng mà thôi."
"At first, Tom seemed angry, but then I realized he was just worried.","Ban đầu, Tom trông có vẻ giận dữ, nhưng sau đó tôi nhận ra rằng anh ấy chỉ đang lo lắng mà thôi."
Earn money on the races! Know-how collection on horse racing will have you raking it in!,Kiếm tiền từ đua ngựa! Tuyển tập những bí kíp giúp bạn sinh lời đến không ngờ từ đua ngựa!
The queue is growing.,Hàng đợi đang tăng lên.
My gym teacher hated me.,Giáo viên thể dục ghét tui mà.
"I ate ice cream, too.",Tôi cũng đã ăn kem.
My body is mine.,Cơ thể tôi là của tôi.
The bread my friends and I ate had raisins in it.,Trong cái bánh mì mà tôi với các bạn tôi ăn có nho khô.
When was this song released?,Bài hát này được ra mắt khi nào?
Mary listened to sad music.,Mary đã nghe nhạc buồn.
I like peas.,Tôi thích đậu Hà Lan.
They were both tired.,Họ đều đã mệt mỏi.
This dog is stupid.,Con chó này là một con chó ngu.
This dog is stupid.,Đây là một con chó ngu.
This dog is stupid.,Con chó này rất ngu.
The chicken is cooked.,Gà đã chín.
It's started snowing.,Trời bắt đầu có tuyết rồi đấy.
It's started snowing.,Tuyết bắt đầu rơi rồi đấy.
I guess Tom will never get over that.,Tôi đoán Tom sẽ không bao giờ vượt qua được điều đó.
The police think that Tom paid someone to kill Mary.,Cảnh sát nghĩ Tom được trả tiền để giết Mary.
I don't know anyone who doesn't like Christmas.,Tôi không biết ai lại không thích lễ Giáng Sinh.
I don't know what awaits me.,tôi không biết cái gì đang chờ đợi mình
What if nothing happens?,Nếu không có gì xảy ra thì sẽ thế nào?
Tom decided not to go there.,Tom đã quyết định không đi đến đó.
I couldn't remember where I'd left my umbrella.,Tôi không thể nhớ đã bỏ dù ở đâu.
The room is starting to spin.,Căn phòng đang bắt đầu quay.
Hello. Could I speak to Tom Jackson?,Xin chào. Tôi có thể nói chuyện với Tom Jackson được không?
Parrots can sing.,Những con vẹt hát được.
I didn't know where my family was.,Tôi đã không biết gia đình tôi ở đâu.
Tom hopes you'll be there.,Tom hy vọng bạn sẽ ở đó.
Just how bad is this system?,Hệ thống này tệ cỡ nào thế?
It's utterly ridiculous.,Nó hoàn toàn lố bịch.
That was the last time Tom saw Mary.,Đó là lần cuối cùng Tom nhìn thấy Mary.
Tom is going to handle the rest.,Tom sẽ giải quyết phần còn lại.
Tom didn't win the 2013 election.,Tom đã không giành chiến thắng trong cuộc bầu cử năm 2013.
"Tom is in the kitchen, heating up leftovers.","Tom đang ở trong bếp, hâm nóng đồ ăn thừa."
Tom and Mary aren't going to accept that.,Tom và Mary sẽ không chấp nhận điều đó.
Have you already made a decision?,Cậu đã quyết định chưa?
Don't we need a lot of money?,Không phải chúng ta cần nhiều tiền sao?
Do you want to be a princess?,Bạn có muốn trở thành một công chúa?
"You didn't actually want to go to Boston, did you?","Lúc đó, bạn thực ra không muốn đi Boston có đúng không?"
I want to have many children.,Tôi muốn có nhiều con.
Sami has many weaknesses.,Sami có nhiều điểm yếu.
Sami has many weaknesses.,Sami có nhiều điểm hạn chế.
That's not why we're doing what we're doing.,Đó không phải là lý do mà chúng tôi đang làm điều mà chúng tôi đang làm.
That isn't why we're doing what we're doing.,Đó không phải là lý do mà chúng tôi đang làm điều mà chúng tôi đang làm.
Help me make a list.,Hãy giúp tôi tạo một danh sách.
Sami's leg was healing.,Chân của Sami đang lành lại.
Sami is going to the mall.,Sami đang đi đến trung tâm mua sắm.
I think that you shouldn't be doing that.,Tôi nghĩ là bạn không nên làm thế.
I think that you shouldn't be doing that.,Tôi nghĩ là bạn không nên làm vậy.
I think that you shouldn't be doing that.,Tôi nghĩ bạn không nên làm điều đó.
I didn't think anybody suspected you weren't Tom.,Tôi đã không nghĩ rằng ai đó nghi ngờ bạn không phải Tom.
I didn't think anybody was here yesterday.,Tôi đã không nghĩ rằng ai đó đã ở đây ngày hôm qua.
I didn't think that anybody was here yesterday.,Tôi đã không nghĩ rằng ai đó đã ở đây ngày hôm qua.
I didn't think anyone was here yesterday.,Tôi đã không nghĩ rằng ai đó đã ở đây ngày hôm qua.
I didn't think that anyone was here yesterday.,Tôi đã không nghĩ rằng ai đó đã ở đây ngày hôm qua.
I didn't want to be laughed at.,Tôi không muốn bị người ta cười.
Sami keeps his tools in the attic.,Sami để dụng cụ của mình trên gác mái.
We might need to stay in Australia for a few weeks.,Chúng tôi chắc sẽ phải ở Úc vài tuần.
We go to Australia every year.,Chúng tôi đi đến Úc mỗi năm.
We just came to Australia last week.,Chúng tôi chỉ vừa đến Úc tuần trước.
Tom went to Australia last winter.,Mùa đông năm ngoái Tom đã đi đến Úc.
Tom went to Australia last winter.,Tom đã tới Úc vào mùa đông năm ngoái.
Tom went to Australia a month ago.,Tom đến Úc một tháng trước.
Tom was in Australia last month.,Tom dã ở Úc vào tháng trước.
Sami is at Walmart.,Sami đang ở Walmart.
That's the reason I went to Australia.,Đó là lý do tôi đã đến nước Úc.
Tell me who you plan to go to Australia with.,Hãy nói cho tôi biết là bạn định đi Úc với ai.
Tom seems to like Australia.,Dường như Tom thích nước Úc.
Let's visit Australia first.,Trước tiên chúng ta hãy đến thăm nước Úc.
I've decided to live in Australia after I graduate from college.,"Sau khi tốt nghiệp đại học, tôi đã quyết định sống ở Úc."
I've decided to live in Australia after I graduate from college.,"Sau khi tốt nghiệp đại học xong, tôi đã quyết định là mình sẽ sống ở Úc."
I'll be living in Australia with my grandparents next year.,Năm sau tôi sẽ sống ở Úc cùng với ông bà tôi.
I'm hoping to go to Australia.,Tôi muốn đi tới nước Úc.
I think I won't go to Australia next winter.,Tôi nghĩ là tôi sẽ không đi Úc mùa đông năm sau.
I think I won't go to Australia next winter.,Tôi nghĩ tôi sẽ không đi Úc vào mùa đông năm sau.
I think that I won't go to Australia next winter.,Tôi nghĩ là tôi sẽ không đi Úc mùa đông năm sau.
I think that I won't go to Australia next winter.,Tôi nghĩ tôi sẽ không đi Úc vào mùa đông năm sau.
I think that we have to go to Australia.,Tôi nghĩ rằng chúng ta phải đến Úc.
I really miss Australia.,Tôi thật sự nhớ nước Úc.
I really miss Australia.,Tôi thực sự nhớ nước Úc.
I sold my house in Australia.,Tôi đã bán ngôi nhà của tôi ở Úc.
I sold my house in Australia.,Tôi đã bán ngôi nhà ở Úc của tôi.
I own some property in Australia.,Tôi sở hữu một số tài sản ở Úc.
Tom and Mary moved to Australia three years ago.,3 năm trước Tom và Mary đã chuyển tới Úc.
I think that Tom and Mary are both busy.,Tôi nghĩ là cả Tom lẫn Mary đều bận.
I think that Tom and Mary are both busy.,Tôi nghĩ Tom và Mary đều bận.
"I think that Tom didn't go jogging yesterday, but I'm not sure.","Tôi nghĩ là hôm qua Tom không đi chạy bộ, nhưng mà tôi không chắc."
I think that Tom has a secret admirer.,Tôi nghĩ là có một người đang yêu thầm Tom.
I think that Tom has a secret admirer.,Tôi nghĩ có một người đang thầm yêu Tom.
I think that Tom is looking for us.,Tôi nghĩ rằng Tom đang tìm chúng tôi.
I think that Tom lied to Mary.,Tôi nghĩ là Tom đã nói dối Mary.
I think that Tom should be fired.,Tôi nghĩ là Tom nên bị sa thải.
I think that Tom should be fired.,Tôi nghĩ Tom nên bị sa thải.
I think that Tom will do that as well.,Tôi nghĩ rằng Tom cũng sẽ làm điều đó.
I think that Tom will be on the same plane as me.,Tôi nghĩ Tom sẽ bay cùng chuyến bay với tôi.
I knew that Tom knew something.,Tôi đã biết rằng Tom biết điều gì đó.
I knew that Tom wasn't very good at playing the flute.,Tôi biết là Tom không giỏi chơi sáo lắm.
I knew that Tom wasn't very good at playing the flute.,Tôi biết Tom chơi sáo không giỏi lắm.
I knew that Tom wouldn't go there if you didn't go with him.,Tôi đã biết là Tom sẽ không đi đến chỗ đó nếu bạn không đi cùng anh ta.
I know that Tom is planning to be there.,Tôi biết rằng Tom đang có kế hoạch ở đó.
I know that Tom isn't in Boston.,Tôi biết Tom không ở Boston.
I know that Tom shouldn't be here.,Tôi biết rằng Tom không nên có mặt ở đây.
I know that Tom was your best friend.,Mình biết Tom là bạn thân của cậu mà.
I thought that you said that you used to live in Boston.,Tui tưởng là cậu nói mình từng sống ở Boston.
I thought that you said your name was Tom.,Tôi tưởng bạn nói tên bạn là Tom.
I thought that you said that your name was Tom.,Tôi tưởng bạn nói tên bạn là Tom.
I thought that you wanted me to handle it.,Tôi đã nghĩ là bạn muốn tôi đưa cái đó cho bạn.
I thought that you were smarter than that.,Tôi tưởng rằng bạn thông minh hơn thế.
I thought that Tom said he didn't know how to play the ukulele.,Tôi tưởng Tom nói rằng anh ấy không biết chơi ukulele.
I thought that Tom was a decent guy.,Tôi đã nghĩ rằng Tom là một anh chàng tử tế.
I thought that Tom was a decent guy.,Tôi tưởng rằng Tom là một anh chàng đứng đắn.
I thought that Tom would let me go.,Tôi tưởng rằng Tom sẽ để tôi đi.
I thought that we should start celebrating.,Tôi nghĩ chúng ta nên bắt đầu ăn mừng.
I thought that you didn't play tennis.,Tôi tưởng bạn không chơi tennis.
I thought that Mary loved me.,Tôi cứ tưởng là Mary yêu tôi.
Tom thought that he could win.,Tôi tưởng rằng anh ấy có thể thắng.
Tom thinks Mary spends too much time on her phone.,Tom cho rằng Mary dành quá nhiều thời gian cho điện thoại.
Tom thinks Mary spends too much time on her phone.,Tom nghĩ Mary dành quá nhiều thời gian cho điện thoại.
Tom thinks that Mary made a big mistake.,Tom nghĩ rằng Mary đã phạm phải một sai lầm lớn.
Tom thinks that Mary probably didn't do that.,Tom nghĩ là Mary có lẽ đã không làm điều đó.
Tom thinks that Mary probably didn't do that.,Tom nghĩ Mary có lẽ đã không làm việc đó.
Tom thinks that you should talk to Mary.,Tom nghĩ là bạn nên nói chuyện với Mary.
Tom knows he's dying.,Tom biết cậu ấy đang chết.
Tom knows that I'm supposed to do that.,Tom biết là tôi phải làm điều đó.
Tom said that there's problem with the TV.,Tom nói là cái TV đang gặp vấn đề gì đó.
Tom said that there's problem with the TV.,Tom nói chiếc ti vi đang gặp trục trặc gì đó.
Tom said that no one was there.,Tom nói là không có ai ở đó cả.
Tom said that nobody was there.,Tom nói là không có ai ở đó cả.
